'org_id';'dt';'amount'
11;2022.01.09;315
12;2022.01.09;599
14;2022.01.09;755
15;2022.01.09;711
16;2022.01.09;946
17;2022.01.09;601
18;2022.01.09;208
19;2022.01.09;727
20;2022.01.09;634
21;2022.01.09;658
8;2022.01.10;342
11;2022.01.10;586
12;2022.01.10;971
14;2022.01.10;320
15;2022.01.10;835
16;2022.01.10;900
17;2022.01.10;963
18;2022.01.10;367
19;2022.01.10;872
20;2022.01.10;357
21;2022.01.10;878
3;2022.01.11;330
11;2022.01.11;537
12;2022.01.11;385
14;2022.01.11;956
15;2022.01.11;363
16;2022.01.11;361
17;2022.01.11;932
18;2022.01.11;483
19;2022.01.11;399
20;2022.01.11;791
21;2022.01.11;598
3;2022.01.12;798
11;2022.01.12;546
12;2022.01.12;309
14;2022.01.12;744
15;2022.01.12;947
16;2022.01.12;317
17;2022.01.12;470
18;2022.01.12;582
19;2022.01.12;774
20;2022.01.12;612
21;2022.01.12;968
3;2022.01.13;745
11;2022.01.13;732
12;2022.01.13;802
14;2022.01.13;645
15;2022.01.13;696
16;2022.01.13;969
17;2022.01.13;518
18;2022.01.13;853
19;2022.01.13;847
20;2022.01.13;647
21;2022.01.13;390
3;2022.01.14;233
7;2022.01.14;603
11;2022.01.14;553
12;2022.01.14;393
14;2022.01.14;535
15;2022.01.14;836
16;2022.01.14;592
17;2022.01.14;326
18;2022.01.14;434
19;2022.01.14;390
20;2022.01.14;672
21;2022.01.14;543
7;2022.01.15;934
8;2022.01.15;619
11;2022.01.15;659
12;2022.01.15;404
14;2022.01.15;201
15;2022.01.15;434
16;2022.01.15;816
17;2022.01.15;969
18;2022.01.15;979
19;2022.01.15;549
20;2022.01.15;771
21;2022.01.15;624
7;2022.01.16;244
8;2022.01.16;741
11;2022.01.16;942
12;2022.01.16;897
14;2022.01.16;588
15;2022.01.16;589
16;2022.01.16;287
17;2022.01.16;621
18;2022.01.16;992
19;2022.01.16;640
20;2022.01.16;814
21;2022.01.16;527
7;2022.01.17;476
8;2022.01.17;406
11;2022.01.17;652
12;2022.01.17;710
14;2022.01.17;597
15;2022.01.17;324
16;2022.01.17;253
17;2022.01.17;531
18;2022.01.17;744
19;2022.01.17;712
20;2022.01.17;735
21;2022.01.17;745
8;2022.01.18;945
11;2022.01.18;551
12;2022.01.18;714
14;2022.01.18;924
15;2022.01.18;900
16;2022.01.18;485
17;2022.01.18;548
18;2022.01.18;944
19;2022.01.18;226
20;2022.01.18;490
21;2022.01.18;841
8;2022.01.19;614
11;2022.01.19;879
12;2022.01.19;928
15;2022.01.19;235
16;2022.01.19;870
17;2022.01.19;568
18;2022.01.19;849
19;2022.01.19;397
20;2022.01.19;844
21;2022.01.19;255
22;2022.01.19;849
8;2022.01.20;555
11;2022.01.20;652
12;2022.01.20;974
15;2022.01.20;607
16;2022.01.20;983
17;2022.01.20;718
18;2022.01.20;319
19;2022.01.20;718
20;2022.01.20;463
21;2022.01.20;264
22;2022.01.20;269
8;2022.01.21;976
11;2022.01.21;989
12;2022.01.21;968
15;2022.01.21;461
16;2022.01.21;537
17;2022.01.21;912
18;2022.01.21;487
19;2022.01.21;827
20;2022.01.21;753
21;2022.01.21;901
22;2022.01.21;706
8;2022.01.22;681
11;2022.01.22;936
12;2022.01.22;576
15;2022.01.22;249
16;2022.01.22;784
17;2022.01.22;773
18;2022.01.22;894
19;2022.01.22;840
20;2022.01.22;622
21;2022.01.22;448
22;2022.01.22;492
8;2022.01.23;596
11;2022.01.23;856
12;2022.01.23;475
15;2022.01.23;314
16;2022.01.23;975
17;2022.01.23;992
18;2022.01.23;576
19;2022.01.23;239
20;2022.01.23;261
21;2022.01.23;553
22;2022.01.23;228
8;2022.01.24;229
11;2022.01.24;814
12;2022.01.24;565
15;2022.01.24;942
16;2022.01.24;301
17;2022.01.24;392
18;2022.01.24;695
19;2022.01.24;202
20;2022.01.24;898
21;2022.01.24;376
22;2022.01.24;938
8;2022.01.25;474
11;2022.01.25;425
12;2022.01.25;722
15;2022.01.25;247
16;2022.01.25;319
17;2022.01.25;562
18;2022.01.25;669
19;2022.01.25;568
20;2022.01.25;853
21;2022.01.25;266
22;2022.01.25;423
8;2022.01.26;328
11;2022.01.26;379
12;2022.01.26;398
15;2022.01.26;320
16;2022.01.26;756
17;2022.01.26;438
18;2022.01.26;381
19;2022.01.26;309
20;2022.01.26;466
21;2022.01.26;411
22;2022.01.26;923
7;2022.01.27;831
8;2022.01.27;352
11;2022.01.27;224
12;2022.01.27;223
15;2022.01.27;847
16;2022.01.27;226
17;2022.01.27;921
18;2022.01.27;223
19;2022.01.27;963
20;2022.01.27;395
21;2022.01.27;449
22;2022.01.27;685
3;2022.01.28;442
7;2022.01.28;568
11;2022.01.28;247
12;2022.01.28;912
15;2022.01.28;936
16;2022.01.28;900
17;2022.01.28;977
18;2022.01.28;359
19;2022.01.28;228
20;2022.01.28;357
21;2022.01.28;558
22;2022.01.28;348
3;2022.01.29;913
7;2022.01.29;795
10;2022.01.29;529
11;2022.01.29;221
12;2022.01.29;261
15;2022.01.29;740
16;2022.01.29;944
17;2022.01.29;892
18;2022.01.29;892
19;2022.01.29;967
20;2022.01.29;915
21;2022.01.29;740
22;2022.01.29;993
3;2022.01.30;836
7;2022.01.30;763
10;2022.01.30;956
11;2022.01.30;231
12;2022.01.30;212
15;2022.01.30;641
16;2022.01.30;474
17;2022.01.30;580
18;2022.01.30;688
19;2022.01.30;385
20;2022.01.30;515
21;2022.01.30;588
22;2022.01.30;363
3;2022.01.31;675
7;2022.01.31;616
10;2022.01.31;519
11;2022.01.31;232
12;2022.01.31;764
15;2022.01.31;432
16;2022.01.31;827
17;2022.01.31;293
18;2022.01.31;453
19;2022.01.31;888
20;2022.01.31;833
21;2022.01.31;397
22;2022.01.31;780
